X.5,X.4,X.3,X.1,X,Unnamed..0,StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,PROLIFICID,CONSENT,EXPGRP,CHIN_SPECIFIC,CHIN_SPECIFIC_6_TEXT,NONASIA_SPECIFIC,NONASIA_SPECIFIC_19_TEXT,NonWNonA_Specific,NonWNonA_Specific_7_TEXT,NonWNonA_Specific_14_TEXT,OTHER_RACE_1,OTHER_RACE_2,OTHER_RACE_3,OTHER_RACE_4,OTHER_RACE_5,OTHER_RACE_6,OTHER_RACE_7,OTHER_RACE_4_TEXT,OTHER_RACE_5_TEXT,OTHER_RACE_6_TEXT,OTHER_RACE_7_TEXT,DOB_1,DOB_2,DOB_3,SEX,SEX_4_TEXT,EDUCATION_1,EDUCATION_2,EDUCATION_3,COUNTRY_BORN,COUNTRY_BORN_2_TEXT,BIRTHCTRY_RESIDENCE,OTHER_COUNTRIES.1_1_TEXT,OTHER_COUNTRIES.1_1_1,OTHER_COUNTRIES.1_2_TEXT,OTHER_COUNTRIES.1_2_1,OTHER_COUNTRIES.1_3_TEXT,OTHER_COUNTRIES.1_3_1,OTHER_COUNTRIES.1_4_TEXT,OTHER_COUNTRIES.1_4_1,OTHER_COUNTRIES.1_5_TEXT,OTHER_COUNTRIES.1_5_1,OTHER_COUNTRIES.1_6_TEXT,OTHER_COUNTRIES.1_6_1,OTHER_COUNTRIES.1_7_TEXT,OTHER_COUNTRIES.1_7_1,OTHER_COUNTRIES.1_8_TEXT,OTHER_COUNTRIES.1_8_1,FIRST_LANGUAGE,FIRST_LANGUAGE_2_TEXT,OTHER_LANGUAGES,OCCUPATION,HH_INCOME,COVSCRN01,COVSCRN02_P,COVSCRN03,EXPGRP_TEXT,CHIN_SPECIFIC_TEXT,CONTINENT_BORN_TEXT_1,CONTINENT_BORN_TEXT_2,CONTINENT_BORN_TEXT_3,HAS_LIVED_USA,HH_INCOME_TEXT,DOB_YEAR,DOB_YEAR_PERIODE,EDUCATION_1_TEXT,SEX_TEXT,demo_class,X.2,AMBI_BIG5_Neuroticism,AMBI_BIG5_Extraversion,AMBI_BIG5_Openness,AMBI_BIG5_Agreeableness,AMBI_BIG5_Conscientiousness,covmis_att_flu,covmis_att_afrDie,covmis_att_eldrNoBgDl,covmis_att_rareNoWorr,covmis_att_bgThrt,covmis_cnsp_ctiusAsian,covmis_cnsp_stpCovStpImmi,covmis_cnsp_redIntWthChina,covmis_cnsp_chnsCovRcst,covmis_orgn_covPlnnd,covmis_orgn_covNat,covmis_orgn_covNgeenLab,covmis_orgn_scntFkNwsCov,covmis_pltc_polBgDlIntrst,covmis_pltc_covNtSerPolSay,covmis_pltc_polDwnplCovPlpLDngr,covmis_cvrg_mdiaCovBgrDl,covmis_cvrg_nwsGdJbComCov,covmis_cvrg_mdiaUseCovMkTrmpRepLkBd,covmis_anti_frGovUseCovMndtVacc,covmis_anti_thnksNoCovVacc,covmis_anti_covVacEffRedVirus,covmis_mdsk_medOrgUntrust,covmis_mdsk_skeptInfoDocSci,covmis_mdsk_medOrgRecBstInt,covmis_mdsk_fllwRecMedOrgImp,cov_class,covqual_class,age_education,neuroticism_qual,extraversion_qual,openness_qual,conscientiousness_qual,agreeableness_qual,covqual_class_2,EDUCATION_2_TEXT,DOB_AGE_BRACKET,HH_INCOME_TEXT2,CovidSkepticism,CovidSkepticism2,CovidSkepticism2norm,ID
1,1,1,1,0,2,6/4/2020 17:25,6/4/2020 17:40,0,185.241.227.164,100,936,1,6/4/2020 17:40,R_3w4JlNMGxxH89Mt,NA,NA,NA,NA,53.64129639,-2.669204712,anonymous,EN,0.9,5b06d16688cbf200019fe44c,1,1,NA,,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,-99,-99,-99,-99,9,24,96,2,-99,3,4,5,2,UNITED KINGDOM,25,SAUDI ARABIA,7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,Business owner,3,3,NA,NA,White,NA,Western Europe,Europe,Northern Country (Richer),FALSE,"$30,000 to $50,000",1996,"(1995,2005]",Some college but no degree,Female,6,1,0.760760855414681,-0.297620417674087,-1.11027752941584,-1.60108448872108,-0.680779932933254,1,5,3,4,4,3,3,4,5,1,4,3,3,2,2,4,2,3,4,3,3,3,4,3,3,3,4,2,-25y_No college degree,high,middle,middle,middle,middle,Believers,No college degree,-25y,"$30,000 to $70,000",34.8320500657352,31.463307851727,3.98655186833756,1
2,2,2,2,1,3,6/4/2020 17:26,6/4/2020 17:46,0,2.80.239.197,100,1185,1,6/4/2020 17:46,R_25QLI3ALkW4BTbz,NA,NA,NA,NA,41.38340759,-8.763595581,anonymous,EN,0.9,5d8535f00a530a00014e535f,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,12,96,1,-99,6,1,2,2,PORTUGAL,25,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Portuguese,"English, Spanish",I'm a Medical Doctor,3,3,NA,NA,White,NA,Western Europe,Europe,Northern Country (Richer),FALSE,"$30,000 to $50,000",1996,"(1995,2005]",Master's degree,Male,6,2,0.90978171246633,-0.371206673376582,-1.54534016611108,-2.327026044062,-0.649694242490119,3,5,1,1,3,3,1,1,1,1,1,1,1,6,1,1,1,1,1,3,1,1,1,1,1,1,1,1,-25y_Graduate degree,high,middle,middle,middle,weak,Believers,Graduate degree,-25y,"$30,000 to $70,000",9.55169377331645,14.4722860906358,2.91983453042062,2
3,3,3,3,2,4,6/4/2020 17:26,6/4/2020 17:50,0,92.238.112.83,100,1464,1,6/4/2020 17:50,R_32OViahEe57EaGx,NA,NA,NA,NA,55.90440369,-3.200302124,anonymous,EN,0.9,5d534a87dccb050001bd5dbc,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,12,9,91,2,-99,6,6,1,2,FINLAND,18,SWEDEN,-99,AUSTRALIA,-99,UNITED KINGDOM,-99,GERMANY,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Finnish,"English, Swedish, German",Analyst,3,3,NA,NA,White,NA,Western Europe,Europe,Northern Country (Richer),FALSE,"$30,000 to $50,000",1991,"(1985,1995]",Master's degree,Female,6,3,-0.132634314737352,-0.127798566589947,1.68493958342633,1.0223304121906,0.250355547158006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,25 - 45y_Graduate degree,middle,middle,high,middle,high,Believers,Graduate degree,25 - 35y,"$30,000 to $70,000",4.95285356057105,8.00128689749774,2.30225671578573,3
4,4,4,4,3,5,6/4/2020 17:26,6/4/2020 17:56,0,148.71.6.38,100,1771,1,6/4/2020 17:56,R_DU0va9tXKpwCytP,NA,NA,NA,NA,39.00610352,-9.429199219,anonymous,EN,0.9,5c0e493d4bc2690001b691fe,1,1,NA,,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,-99,-99,-99,-99,10,7,98,2,-99,5,1,1,2,PORTUGAL,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Portuguese,English,Student,1,3,NA,NA,White,NA,Western Europe,Europe,Northern Country (Richer),FALSE,"Less than $10,000",1998,"(1995,2005]",Bachelor's degree in college,Female,6,4,0.288103060177065,0.928386465146683,-0.671497743341535,-2.05009404676417,1.26010952718179,2,2,2,1,3,1,1,1,2,1,2,1,2,1,1,6,1,4,3,1,2,2,1,2,6,4,1,1,-25y_College degree,middle,middle,middle,high,weak,Believers,College degree,-25y,"Less than $30,000",17.7638799928561,15.5771247689803,3.00725172023463,4
5,5,5,5,4,6,6/4/2020 17:31,6/4/2020 17:57,0,92.236.106.2,100,1542,1,6/4/2020 17:57,R_1MWpf1qoQEunl1u,NA,NA,NA,NA,51.46740723,-0.355606079,anonymous,EN,0.9,5e84a72b34d5d905a1de8b4a,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,6,20,102,2,-99,2,5,5,2,POLAND,12,UNITED KINGDOM,6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Polish,"English, Russian, French",Student,3,3,NA,NA,White,NA,Central Eastern Europe,Europe,Southern Country (Poorer),FALSE,"$30,000 to $50,000",2002,"(1995,2005]",High school graduate,Female,7,5,-0.658273068911983,0.206730333561581,1.87720010204965,-0.470083567456188,-0.69297669733125,1,3,2,2,3,1,2,1,1,1,3,3,2,3,3,3,4,3,3,1,1,1,2,1,1,1,3,2,-25y_No college degree,middle,middle,high,middle,middle,Believers,No college degree,-25y,"$30,000 to $70,000",17.2240064460093,24.4435958017944,3.60274634082064,5
6,6,6,6,5,7,6/4/2020 17:36,6/4/2020 17:58,0,146.241.105.11,100,1343,1,6/4/2020 17:58,R_DwS7xSL0hSRAPF7,NA,NA,NA,NA,45.78149414,9.620300293,anonymous,EN,0.9,5e8c6c760281e1030db83f9e,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,21,98,2,-99,5,2,2,2,ITALY,23,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,italian,"english, german, french, spanish",student,3,3,NA,NA,White,NA,Western Europe,Europe,Northern Country (Richer),FALSE,"$30,000 to $50,000",1998,"(1995,2005]",Bachelor's degree in college,Female,6,6,1.44523323467627,-1.45366494669018,1.12452484127265,0.247326202752398,-0.730080730151638,2,6,1,2,4,1,4,2,1,2,1,2,5,6,5,5,6,4,1,5,3,3,2,2,2,2,3,3,-25y_College degree,high,weak,high,middle,middle,Skeptics,College degree,-25y,"$30,000 to $70,000",35.3213792218946,45.2577370258194,4.61220238336544,6
7,7,7,7,6,8,6/4/2020 17:36,6/4/2020 18:00,0,92.20.37.76,100,1431,1,6/4/2020 18:00,R_22sRQ6UMvkKmIDk,NA,NA,NA,NA,54.32389832,-1.487792969,anonymous,EN,0.9,5e1c5adeba913244d9ad02b7,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,10,10,94,2,-99,2,2,2,2,UNITED KINGDOM,26,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,-99,-99,Housewife,2,3,NA,NA,White,NA,Western Europe,Europe,Northern Country (Richer),FALSE,"$10,000 to $30,000",1994,"(1985,1995]",High school graduate,Female,6,7,1.63127298045172,-1.4007127807531,-0.750180591887758,-0.116223365470267,-0.416491159308468,2,3,1,1,1,1,4,4,1,1,3,1,2,3,3,2,2,6,2,2,2,2,1,2,2,2,2,1,25 - 45y_No college degree,high,weak,middle,middle,middle,Believers,No college degree,25 - 35y,"Less than $30,000",17.9724141237948,18.6657831968385,3.23348423072651,7
8,8,8,8,7,9,6/4/2020 17:39,6/4/2020 18:00,0,95.95.219.216,100,1268,1,6/4/2020 18:00,R_1Fb7AQ8NvEhChvY,NA,NA,NA,NA,38.6631012,-9.072402954,anonymous,EN,0.9,5dc94678880a2965965fc001,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,17,99,1,-99,2,2,2,2,PORTUGAL,19,ITALY,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Portuguese,"Spanish, Italian, French, English",Flight Attendant,2,3,NA,NA,White,NA,Western Europe,Europe,Northern Country (Richer),FALSE,"$10,000 to $30,000",1999,"(1995,2005]",High school graduate,Male,6,8,0.159861451366981,-0.31067159745119,-0.757095478118846,-0.415845834863896,-0.707592345717398,1,1,2,1,1,6,5,5,3,5,5,5,3,6,2,4,3,2,3,5,1,4,3,4,2,2,2,2,-25y_No college degree,middle,middle,middle,middle,middle,Believers,No college degree,-25y,"Less than $30,000",39.2576644218799,36.5509683870067,4.23349795819736,8
9,9,9,9,8,10,6/4/2020 17:36,6/4/2020 18:00,0,5.179.181.177,100,1472,1,6/4/2020 18:00,R_3IQqAJRnpFcAx5o,NA,NA,NA,NA,43.14790344,12.10969543,anonymous,EN,0.9,5e1c36b5214d1f439a84e469,1,1,NA,,NA,NA,NA,NA,NA,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,7,99,2,-99,2,3,5,2,ITALY,22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Italian,"English, French",Student,3,3,NA,NA,White,NA,Western Europe,Europe,Northern Country (Richer),FALSE,"$30,000 to $50,000",1999,"(1995,2005]",High school graduate,Female,6,9,1.12972927758482,-1.82275468988939,0.266133941382586,-0.478158778120576,-1.22950050910745,1,4,1,1,2,1,3,3,6,1,3,4,1,1,1,6,1,3,1,1,1,1,3,1,3,2,2,1,-25y_No college degree,high,weak,middle,weak,middle,Believers,No college degree,-25y,"$30,000 to $70,000",18.2570895046061,13.2346769835587,2.81702352020763,9
10,10,10,10,9,11,6/4/2020 17:46,6/4/2020 18:01,0,86.111.115.160,100,875,1,6/4/2020 18:01,R_Uot8tpe2UIJXeYV,NA,NA,NA,NA,53.01759338,18.62019348,anonymous,EN,0.9,5c1cd3ceaaf132000142713d,1,1,NA,,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,-99,-99,-99,-99,9,1,81,1,-99,6,2,2,2,POLAND,39,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,Polish,English,Polish,3,3,NA,NA,White,NA,Central Eastern Europe,Europe,Southern Country (Poorer),FALSE,"$30,000 to $50,000",1981,"(1975,1985]",Master's degree,Male,6,10,-0.56081424426518,0.641105262907479,-0.602139116153637,-1.19048576601896,-0.159359695155392,3,6,2,3,3,1,1,1,1,1,3,3,2,6,3,4,4,3,4,5,3,4,3,3,4,4,4,2,25 - 45y_Graduate degree,middle,middle,middle,middle,middle,Believers,Graduate degree,35 - 45y,"$30,000 to $70,000",36.4299713071901,43.0404213897771,4.52022792582903,10
