"","Loc_adresse_formated","Loc_country","Loc_state","Loc_county","Loc_city"
"1","Pole Green Nurseries and Plant Centre, 41 Chorley Lane, Charnock Richard, PR7 5NH, United Kingdom","United Kingdom","England","Lancashire","Charnock Richard"
"2","R Gomes De Amorim 31-33, 4490-641 Póvoa de Varzim, Portugal","Portugal","Porto","Póvoa de Varzim","R Gomes De Amorim 31-33, 4490-641 Póvoa de Varzim, Portugal"
"3","51 Waterfield Road, City of Edinburgh, EH10 6TG, United Kingdom","United Kingdom","Scotland","City of Edinburgh","City of Edinburgh"
"4","Pct Mar A Vista 8, 2640-046 Teresa Lourenço, Portugal","Portugal","Lisbon","Teresa Lourenço","Pct Mar A Vista 8, 2640-046 Teresa Lourenço, Portugal"
"5","Inwood Fitness Trail, London, TW3 1XX, United Kingdom","United Kingdom","England","Greater London","London"
"6","Via 4 Novembre, 36, 24010 Sedrina BG, Italy","Italy","Lombardy","Bergamo","Sedrina"
"7","The Green, Hambleton, DL7 9PZ, United Kingdom","United Kingdom","England","North Yorkshire","Hambleton"
"8","2830-140 Barreiro, Portugal","Portugal","Setúbal","Barreiro","2830-140 Barreiro, Portugal"
"9","Via della Strage, 12, 06063 Magione PG, Italy","Italy","Umbria","Perugia","Magione"
"10","Bolesława Chrobrego 3b, 87-100 Toruń, Poland","Poland","Kujawsko-pomorskie","Austronesian languages","Toruń"
"11","8 Hummingbird Close, Exeter, EX1 3QZ, United Kingdom","United Kingdom","England","Devon","Exeter"
"12","R Garcia De Orta 26 G, 2800-698 Almada, Portugal","Portugal","Setúbal District","Almada","R Garcia De Orta 26 G, 2800-698 Almada, Portugal"
"13","1 Rugby Road, Belfast, United Kingdom","United Kingdom","Northern Ireland","Belfast","Belfast"
"14","Goirkekanaaldijk 40-01, 5046 AT Tilburg, Netherlands","Netherlands","North Brabant","Tilburg","Goirkekanaaldijk 40-01, 5046 AT Tilburg, Netherlands"
"15","23 Rue Du Cimetière, 67280 Niederhaslach, France","France","Great East","Bas-Rhin","Niederhaslach"
"16","Pct Quinta Bispo 87, 4560-885 Penafiel, Portugal","Portugal","Porto","Penafiel","Pct Quinta Bispo 87, 4560-885 Penafiel, Portugal"
"17","The Botanic Garden of Brera, Via Borgonuovo, 20121 Milan MI, Italy","Italy","Lombardy","Milan","Milan"
"18","Świętojerska 24, 00-202 Warsaw, Poland","Poland","Masovian Voivodeship","Warszawa","Warsaw"
"19","Żeliwna 26e, 40-599 Katowice, Poland","Poland","Silesian Voivodeship","Katowice","Katowice"
"20","U Botanické Zahrady 859/2, 779 00 Olomouc, Czechia","Czechia","Olomouc","Olomouc","U Botanické Zahrady 859/2, 779 00 Olomouc, Czechia"
"21","Zemgales iela 20, Olaine, LV-2114, Latvia","Latvia","Vidzeme","Olaine parish","Olaine"
"22","4779 Brookfield Drive, Sacramento, CA 95823, United States of America","United States","California","Sacramento County","Sacramento"
"23","1571 Creekside Drive, Folsom, CA 95630, United States of America","United States","California","Sacramento County","Folsom"
"24","Giardino delle Arti, Viale Primo Maggio, 1023 Turin Torino, Italy","Italy","Piemont","Torino","Turin"
"25","R Cap Ten Oliveira E Carmo 31, 2580-493 Carregado, Portugal","Portugal","Lisbon","Carregado","R Cap Ten Oliveira E Carmo 31, 2580-493 Carregado, Portugal"
"26","Bickley Park Cricket Club, Bickley Park Road, London, BR1 2AY, United Kingdom","United Kingdom","England","Greater London","London"
"27","Piazza Della Vittoria, 11, 16121 Genoa GE, Italy","Italy","Liguria","Genova","Genoa"
"28","Edbrooke Road Gardens, London, W9 2DE, United Kingdom","United Kingdom","England","Greater London","London"
"29","R Tiago Da Silva Santos 107 A, 2625-234 Póvoa de Santa Iria, Portugal","Portugal","Lisbon","Póvoa de Santa Iria","R Tiago Da Silva Santos 107 A, 2625-234 Póvoa de Santa Iria, Portugal"
"30","R Lagares 66, 1100-297 Lisbon, Portugal","Portugal","Lisbon","Lisbon","R Lagares 66, 1100-297 Lisbon, Portugal"
"31","Generała Władysława Sikorskiego 45, 40-282 Katowice, Poland","Poland","Silesian Voivodeship","Katowice","Katowice"
"32","Ocean Parkway, New York, NY 11224, United States of America","United States","New York","New York","Ocean Parkway, New York, NY 11224, United States of America"
"33","Boulevard De La Cluse 91, 1205 Geneva, Switzerland","Switzerland","Geneva","Genève","Geneva"
"34","818 Cedar Avenue, Sunnyvale, CA 94086-5128, United States of America","United States","California","Santa Clara County","Sunnyvale"
"35","Park im. ks. Bronisława Kabata, Gdansk, Poland","Poland","Pomorskie","Gdańsk","Gdansk"
"36","Myśliwska 50, 30-718 Krakow, Poland","Poland","Lesser Poland Voivodeship","Kraków","Krakow"
"37","Via della Strage, 12, 06063 Magione PG, Italy","Italy","Umbria","Perugia","Magione"
"38","Χαριλάου Τρικούπη 35, 106 81 Athens, Greece","Greece","Attica","Regional Unit of Central Athens","Athens"
"39","Parque do Mercado, Rua Luís de Camões, 4780-365 Santo Tirso, Portugal","Portugal","Porto","Santo Tirso","Parque do Mercado, Rua Luís de Camões, 4780-365 Santo Tirso, Portugal"
"40","R Francisco Arruda Furtado 6, 9500-060 Ponta Delgada (São Sebastião), Portugal","Portugal","Azores","Ponta Delgada (São Sebastião)","R Francisco Arruda Furtado 6, 9500-060 Ponta Delgada (São Sebastião), Portugal"
"41","Winn Farm, 57 Summer Street, Arlington, MA 02174, United States of America","United States","Massachusetts","Middlesex County","Arlington"
"42","Anfiteatro Club Náutico, Paseo de Echegaray y Caballero, 101, 50001 Zaragoza, Spain","Spain","Aragon","Zaragoza","Zaragoza"
"43","Manor Rise, Maidstone, ME14 4DB, United Kingdom","United Kingdom","England","Kent","Maidstone"
"44","Χαριλάου Τρικούπη 35, 106 81 Athens, Greece","Greece","Attica","Regional Unit of Central Athens","Athens"
"45","Most średnicowy, Wybrzeże Szczecińskie, 03-724 Warsaw, Poland","Poland","Masovian Voivodeship","Warszawa","Warsaw"
